LAWBLA         AL1234569920190911J21234599
JOHNSON        AL9999999920191212J19999999
WILSON         AL7171239520000101J38765411
MACFARLAN      GA0009801220081011J10001590
MERCER         GA0121212120040214J30015090
SMITH          GA0000000119991031J10010000
WEIGLE         GA7777777720090920P20012000
GRIFFIN        GA0000000000000000P10000000
CROSKREY       KS1234569919991225P31234599
KITBOGA        KS0987659920030401P20987699
SAMSONITE      KS0101010120020704P20101010
ALEXANDER      KS8888888820000101P18888888
GORGONZOLA     VA7777777777777777P37777777
COMMERCIALIZINGVA6666666666666666P26666666
WASHINGTON     AL1111111111111111C11111111
ADAMS          AL2222222222222222C22222222
JEFFERSON      AL3333333333333333C33333333
MADISON        AR4444444444444444C34444444
MONROE         AR5555555555555555C25555555
ADAMS          AR6666666666666666C16666666
JACKSON        AR7777777777777777C17777777
BUREN          DE8888888888888888C28888888
HARRISON       DE9999999999999999C39999999
TYLER          DE1010101010101010C21010101
POLK           HI1111119920021031B11111199
TAYLOR         HI1536249919961104B21536240
FILMORE        HI0000200019990704B30020000
PIERCE         IN0009879919440911B10000100
BUCHANAN       IN0006783319550810B10000200
LINCOLN        KS0002333319660709B10000300
JOHNSON        KS0022323319770608B10000400
GRANT          KS6666666619880507B10000500
HAYES          KS0000012319450102R10010000
GARFIELD       KS0000023419450203R10020000
ARTHUR         KS0000034519450304R10030000
CLEVELAND      KS0000045619450405R20040000
HARRISON       KS0000056719450506R20050000
CLEVELAND      MS0000067819450607R20060000
MCKINLEY       MS0000078919450708R30070000
ROOSEVELT      MS0000089019450809R30080000
TAFT           MS1000000019231020S10990000
WILSON         MS2000000019242030S10880000
HARDING        NH3000000019353040S10770000
COOLIDGE       NH4000000019364050S10660000
HOOVER         NH5000000019475060S10550000
ROOSEVELT      NH6000000019486070S20440000
TRUMAN         NH7000000019787080S20330000
EISENHOWER     NH8000000019799000S20220000
KENNEDY        NH9000000019231020S20110000
JOHNSON        NH8000000019242030S20220000
NIXON          OR7000000019673040S30330000
FORD           OR6000000019684050S30440000
CARTER         OR5000000019695060S30550000
REGAN          OR4000000019126070S30660000
BUSH           SD3000000019137080S30770000
CLINTON        SD2000000019149000S10880000
BUSH           SD1000000019341020S10990000
OBAMA          SD2000000019452030S10880000
TRUMP          SD3000000019563040S10770000
